supplement,evidence level,claimed improved aspect of fitness,fitness category,sport or exercise type tested,popularity,number of studies examined,number of citations,No. of individual studies / reviews,N positive studies / trials,% positive studies/ trials
Fish oil,0,endurance,aerobic–endurance,"football, cycling",10800,3,3090,3,0,0.00%
Fish oil,1,body fat,fat burning–muscle building,other,10800,1,3090,1,1,100.00%
Fish oil,2,inflammation + muscle soreness,recovery–injury prevention,"weight training, cycling, swimming",10800,6,3090,6,2,33.33%
Forskolin,1,weight loss in overweight men,fat burning–muscle building,other,286,1,13,1,1,100.00%
Glutamine,0,"strength, muscle mass","strength–power, fat burning–muscle building","weight training, other",3610,3,1720,3,0,0.00%
Glycerol,1,endurance,aerobic–endurance,other,851,1,99,1,0,0.00%
GP L-Carnitine,1,"metabolism, fitness markers","fat burning–muscle building, general fitness",other,310,2,1300,2,0.5,25.00%
GP L-Carnitine,0,aerobic + anaerobic performance,"aerobic–endurance, anaerobic-high-intensity",other,310,1,1300,1,0,0.00%
Green tea extract,0,endurance,aerobic–endurance,cycling,2990,2,38,2,0,0.00%
Green tea extract,3,"fat burning, oxidative stress reduction","fat burning–muscle building, recovery–injury prevention","cycling, weight training",2990,5,38,5,3.5,70.00%
HCA,3,fat burning,fat burning–muscle building,cycling,675,4,54,4,3,75.00%
HCA,1,endurance,aerobic–endurance,cycling,675,2,54,2,2,100.00%
HMB,3,strength,strength–power,weight training,809,4,327,1,0,0.00%
HMB,1,muscle damage,recovery–injury prevention,weight training,809,3,327,2,0,0.00%
HMB,0.5,aerobic fitness,aerobic–endurance,"weight training, cycling, other",809,3,327,2,0,0.00%
HMB,2,"muscle building, fat loss",fat burning–muscle building,"weight training, other",809,4,327,1,0,0.00%
HMB + creatine,1,"muscle mass, strength","fat burning–muscle building, strength–power",weight training,55,1,30,1,1,100.00%
HMB + KIC,1,"soreness, muscle damage",recovery–injury prevention,"running, weight training",0,2,14,2,1.5,75.00%
Isoflavones,1,"inflammation, oxidative stress",recovery–injury prevention,running,2160,3,469,3,1,33.33%
Isoflavones,0,muscle soreness,recovery–injury prevention,weight training,2160,1,469,1,0,0.00%
Isoflavones,2,body weight + fat loss in postmenopausal women,fat burning–muscle building,"weight training, other",2160,2,469,2,1.5,75.00%
L-arginine,1,aerobic fitness,aerobic–endurance,"cycling, weight training",4060,4,1600,4,1,25.00%
L-arginine,3,general exercise performance,general fitness,other,4060,1,1600,0,0,0.00%
L-arginine,0,strength,strength–power,weight training,4060,1,1600,1,0,0.00%
L-carnitine LT,1,metabolism,fat burning–muscle building,cycling,15600,3,1300,3,0.5,16.67%
L-carnitine LT,0,endurance,aerobic–endurance,cycling,15600,1,1300,1,0,0.00%
L-carnitine LT,5,muscle damage,recovery–injury prevention,"cycling, weight training",15600,6,1300,6,5.5,91.67%
Medium chain triglycerides ,0,endurance,aerobic–endurance,running,801,1,22,1,0,0.00%
Phosphatidylserine,1,high-intensity aerobic endurance,aerobic–endurance,cycling,805,1,67,1,1,100.00%
Phosphatidylserine,0,muscle damage,recovery–injury prevention,running,805,1,67,1,0,0.00%
Potassium phosphate,1,perceived exertion,sports psychology,running,1390,1,16,1,1,100.00%
Pyruvate,0,"aerobic performance, metabolism, weight loss, muscle mass","aerobic–endurance, fat burning–muscle building, general fitness","cycling, football",677,2,319,2,0,0.00%
Quercetin,2,aerobic endurance,aerobic–endurance,cycling,2490,3,199,3,2,66.67%
Quercetin,1,illnesses following heavy exercise,general fitness,cycling,2490,1,199,1,1,100.00%
Quercetin,0,repeated sprint performance,anaerobic–high-intensity,running,2490,1,199,1,0,0.00%
Quercetin,1,inflammation,recovery–injury prevention,"running, cycling",2490,3,199,3,1.5,50.00%
Quercetin,0,perceived exertion,sports psychology,"running, cycling",2490,2,199,2,0,0.00%
Rhodiola Rosea L.,0,aerobic performance,aerobic–endurance,other,810,1,26,1,0,0.00%
Rhodiola Rosea L.,2,muscle damage,recovery–injury prevention,"rowing, other",810,2,26,2,1.5,75.00%
Ribose,0,repeated sprint performance,anaerobic–high-intensity,"cycling, other",1490,4,201,4,0,0.00%
Ribose,0,endurance,aerobic–endurance,rowing,1490,1,201,1,0,0.00%
Ribose,1,strength,strength–power,weight training,1490,2,201,2,1,50.00%
Ribose,0,body composition,fat burning–muscle building,weight training,1490,1,201,1,0,0.00%
Sour cherry juice,2,muscle damage + inflammation,recovery–injury prevention,"running, weight training",234,2,30,2,2,100.00%
Soy protein,1,high intensity endurance,"aerobic–endurance, anaerobic–high-intensity",cycling,24100,1,424,1,1,100.00%
Soy protein,1,calorie + fat burning in postmenopausal women,fat burning–muscle building,weight training,24100,2,424,2,1,50.00%
Spirulina,2,endurance performance,aerobic–endurance,running,7670,2,48,2,2,100.00%
Spirulina,2,"muscle damage, fat burning","recovery–injury prevention, fat burning–muscle building",running,7670,2,48,2,2,100.00%
Taurine,0.5,"endurance performance, metabolism","aerobic–endurance, fat burning–muscle building",cycling,2560,1,575,1,0.5,50.00%
Tribulus terrestris,0,"strength, body composition, testosterone","strength–power, fat burning-muscle building",weight training,2190,3,39,3,0,0.00%
Tyrosine,1,exercise tolerance in hot conditions,"aerobic–endurance, sports psychology",cycling,2340,1,164,1,1,100.00%
Velvet antler,0,"endurance, strength, hormonal exercise response","aerobic–endurance, strength–power, general fitness","rowing, weight training",1340,2,4,2,0.5,25.00%
Whey protein,3,weight + fat loss,fat burning–muscle building,weight training,8610,3,320,3,3,100.00%
Whey protein,6,"strength, muscle building + recovery","strength–power, recovery–injury prevention ","weight training, running",8610,11,320,11,10,90.91%
